"source","lib1","sink","lib2"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new AttachContainerCmdExec(...)","com.github.dockerjava.jaxrs.AttachContainerCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new ExecStartCmdExec(...)","com.github.dockerjava.jaxrs.ExecStartCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new InspectExecCmdExec(...)","com.github.dockerjava.jaxrs.InspectExecCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new LogContainerCmdExec(...)","com.github.dockerjava.jaxrs.LogContainerCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new CopyArchiveFromContainerCmdExec(...)","com.github.dockerjava.jaxrs.CopyArchiveFromContainerCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new CopyFileFromContainerCmdExec(...)","com.github.dockerjava.jaxrs.CopyFileFromContainerCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new CopyArchiveToContainerCmdExec(...)","com.github.dockerjava.jaxrs.CopyArchiveToContainerCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new StopContainerCmdExec(...)","com.github.dockerjava.jaxrs.StopContainerCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new ContainerDiffCmdExec(...)","com.github.dockerjava.jaxrs.ContainerDiffCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new KillContainerCmdExec(...)","com.github.dockerjava.jaxrs.KillContainerCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new UpdateContainerCmdExec(...)","com.github.dockerjava.jaxrs.UpdateContainerCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new RenameContainerCmdExec(...)","com.github.dockerjava.jaxrs.RenameContainerCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
